trial_nr,dataset,model,optimizer,seed,val_auroc,val_accuracy,train_time,config
114,bank_marketing,mlp,acrs,42,0.9110200082508252,0.911504424778761,3.3457095623016357,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 49, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
115,bank_marketing,mlp,acrs,42,0.9130698226072608,0.9126106194690266,3.550032377243042,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 53, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
116,bank_marketing,mlp,acrs,42,0.91606074669967,0.9126106194690266,3.363572359085083,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 132, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
117,bank_marketing,mlp,acrs,42,0.9099499793729373,0.918141592920354,3.3595099449157715,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
118,bank_marketing,mlp,acrs,42,0.905205754950495,0.9137168141592921,3.1108639240264893,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
119,bank_marketing,mlp,acrs,42,0.41310205239273934,0.8938053097345132,1.7614386081695557,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""sgd"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
120,bank_marketing,mlp,acrs,42,0.9179300742574257,0.9148230088495575,3.1558377742767334,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
121,bank_marketing,mlp,acrs,42,0.9079646245874587,0.911504424778761,2.9237077236175537,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
1,bank_marketing,rf,acrs,42,0.9110200082508251,0.8982300884955752,0.17321109771728516,"{""n_estimators"": 90, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
2,bank_marketing,rf,acrs,42,0.9114067656765676,0.8993362831858407,0.2154991626739502,"{""n_estimators"": 132, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
3,bank_marketing,rf,acrs,42,0.915016501650165,0.9004424778761062,0.6586129665374756,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
4,bank_marketing,rf,acrs,42,0.914462149339934,0.9004424778761062,0.5745103359222412,"{""n_estimators"": 402, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
5,bank_marketing,rf,acrs,42,0.9141140676567656,0.8993362831858407,0.48528122901916504,"{""n_estimators"": 340, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
6,bank_marketing,rf,acrs,42,0.913417904290429,0.9015486725663717,0.32484006881713867,"{""n_estimators"": 231, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
7,bank_marketing,rf,acrs,42,0.9106977103960395,0.8993362831858407,0.646160364151001,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
8,bank_marketing,rf,acrs,42,0.9142687706270627,0.8982300884955752,0.6566455364227295,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
9,bank_marketing,rf,acrs,42,0.914707095709571,0.8993362831858407,0.6612322330474854,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
10,bank_marketing,rf,acrs,42,0.9153774752475247,0.9015486725663717,0.655689001083374,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
11,bank_marketing,rf,acrs,42,0.9171565594059407,0.9004424778761062,0.6587333679199219,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
12,bank_marketing,rf,acrs,42,0.9184457508250826,0.9015486725663717,0.6597514152526855,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.7772923935079175}"
13,bank_marketing,rf,acrs,42,0.9196833745874586,0.8993362831858407,0.6532976627349854,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.5319086280520877}"
14,bank_marketing,rf,acrs,42,0.9158673679867986,0.8993362831858407,0.6596064567565918,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.9138155859962911}"
15,bank_marketing,rf,acrs,42,0.9186262376237623,0.8993362831858407,0.6699488162994385,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.8158321995610325}"
16,bank_marketing,rf,acrs,42,0.9154806105610561,0.9004424778761062,0.6575484275817871,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.8790438700426869}"
17,bank_marketing,rf,acrs,42,0.917633560231023,0.8993362831858407,0.6602745056152344,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.5319086280520877}"
18,bank_marketing,rf,acrs,42,0.9199025371287128,0.8971238938053098,0.6574339866638184,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""max_samples"": 0.5319086280520877}"
19,bank_marketing,rf,acrs,42,0.9213464315181518,0.8993362831858407,0.660855770111084,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""max_samples"": 0.5319086280520877}"
20,bank_marketing,rf,acrs,42,0.9170534240924093,0.9004424778761062,0.6456007957458496,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.5319086280520877}"
21,bank_marketing,rf,acrs,42,0.9216816212871286,0.8993362831858407,0.6581311225891113,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""max_samples"": 0.5319086280520877}"
